City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
406,Kiunga,PG,83.35,-6.12,141.29,Airport Lodge Kiunga
411,Kyaikkami,MM,84.65,16.08,97.57,Happy Family Kyaikkami
412,Moree,AU,77.0,-29.47,149.85,Molika Springs Motel
418,Yook,PH,83.7,13.23,121.96,Pielago's Residences
425,Abu Zabad,SD,88.81,12.35,29.25,محي الدين نوري
426,Bitung,ID,80.6,1.45,125.18,Peoplesight Learning Center ( PLC )
427,Salinopolis,BR,78.24,-0.61,-47.36,Hotel Salinópolis
430,Amahai,ID,83.71,-3.33,128.92,Peternakan Ayam Bangkok Manisso
434,Kulhudhuffushi,MV,82.54,6.62,73.07,Haajy Guest House 1
435,Trincomalee,LK,83.34,8.57,81.23,Welcombe Hotel
437,Cayenne,GF,77.0,4.93,-52.33,Hôtel Le Dronmi
438,Progreso,MX,75.99,21.28,-89.67,Playa Linda Hotel
439,Bambous Virieux,MU,77.0,-20.34,57.76,Casa Tia Villa
443,Praia,CV,77.0,14.92,-23.51,LT Aparthotel
445,Sheopur,IN,87.87,25.67,76.7,Hotel Bismillah
447,Bonfim,BR,78.06,3.08,-59.95,
450,Kandy,LK,85.15,7.3,80.64,Thilanka Hotel - Kandy
451,Inirida,CO,75.33,3.87,-67.92,Fuente del Guania Hotel de Lujo
455,Bonthe,SL,79.41,7.53,-12.51,Bonthe Holiday Village
459,Mackay,AU,82.4,-21.15,149.2,International Lodge Motel
462,Karratha,AU,86.59,-20.74,116.85,ibis Styles Karratha
463,Botro,CI,76.8,7.85,-5.31,Motel de la Station BOTRO
470,Umm Kaddadah,SD,86.25,13.6,26.69,
473,Dingle,PH,82.96,11.0,122.67,Camp Pasica
474,Garowe,SO,84.52,8.41,48.48,Curubo Hotel
477,Camacupa,AO,76.95,-12.02,17.48,
478,Boende,CD,82.81,-0.22,20.87,
481,Alice Springs,AU,84.2,-23.7,133.88,Desert Palms Alice Springs
482,Buraydah,SA,75.2,26.33,43.98,Mövenpick Hotel Qassim
483,Najran,SA,75.2,17.49,44.13,محمد هادي ال فطيح
492,Mardin,TR,78.8,37.31,40.74,Reyhani Kasri Hotel
505,Pedernales,DO,80.46,18.04,-71.74,Hotel Costa Marina
506,Monrovia,LR,77.0,6.3,-10.8,Eco-Hotel Hall & Restaurant
507,Carutapera,BR,76.32,-1.2,-46.02,Lidera
508,Mingaora,PK,77.94,34.78,72.36,Burj Al Swat
509,Bluefields,NI,75.2,12.01,-83.76,Nicaraguan Typical House Downtown
520,Maragogi,BR,75.27,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
521,Sur,OM,83.08,22.57,59.53,Sur Plaza Hotel
524,Puerto Escondido,MX,76.37,15.85,-97.07,Aldea del Bazar Hotel and Spa
533,Gwalior,IN,87.78,26.22,78.18,"Taj Usha Kiran Palace, Gwalior"
541,Merauke,ID,84.2,-8.47,140.33,
543,Namibe,AO,79.32,-15.2,12.15,Hotel Chik Chik Namibe
544,Cap Malheureux,MU,77.0,-19.98,57.61,Pereybere Hotel & Spa
549,Igurubi,TZ,81.61,-4.0,33.7,
550,Impfondo,CG,77.14,1.64,18.07,Préfecture de la Likouala
552,Atar,MR,81.95,20.52,-13.05,Oumou Elghoura
553,Nabire,ID,83.61,-3.37,135.48,Hotel Nusantara Nabire
555,Bilma,NE,75.63,18.69,12.92,Expeditions Ténére voyages
558,Banda Aceh,ID,84.74,5.56,95.32,OYO 884 Rumoh PMI Hotel
561,Kampong Thum,KH,90.0,12.71,104.89,Sambor Village Hotel
564,Raga,SS,79.02,8.46,25.68,
568,Qandala,SO,83.59,11.47,49.87,
569,Tahoua,NE,77.0,14.89,5.27,Bungalows Guesthouse
573,Cabedelo,BR,75.2,-6.98,-34.83,Lua Mansa Pousada
574,Miracema Do Tocantins,BR,75.27,-9.56,-48.4,Miami Apart Hotel
575,Kahului,US,80.6,20.89,-156.47,Maui Seaside Hotel
580,Manggar,ID,84.99,-2.88,108.27,Guest Hotel
582,Kieta,PG,80.82,-6.22,155.63,
585,Luwuk,ID,80.76,-0.95,122.79,Hotel Santika Luwuk
587,Marzuq,YE,78.44,14.4,46.47,
588,Gamba,GA,77.85,-2.65,10.0,
593,Belle Glade,US,75.99,26.68,-80.67,Mid-City Trailer Park
595,Harper,LR,79.05,4.38,-7.72,Screensaver
600,Pampierstad,ZA,79.99,-27.78,24.69,BAROLONG METHODIST CHURCH
604,Sao Jose Da Coroa Grande,BR,75.85,-8.9,-35.15,Crôa Mares Hotel
613,Casambalangan,PH,77.49,18.38,122.13,Villa Saturnina
630,Hukuntsi,BW,88.63,-24.0,21.75,Entabeni Hotel
635,Kilindoni,TZ,80.83,-7.91,39.67,Bustani B&B
636,Manacapuru,BR,77.0,-3.3,-60.62,Novo Hotel
640,Eydhafushi,MV,82.81,5.1,73.07,Soneva Fushi
643,Adrar,MR,80.08,20.5,-10.07,
646,Baguinge,PH,76.37,16.78,121.11,Luckystar Hotel Lodge
647,Bela,IN,88.27,25.93,81.98,Siddharth Hotel
650,Saint-Louis,SN,77.0,16.33,-15.0,
655,Tebingtinggi,ID,87.44,3.33,99.16,Hotel Malibou
658,Puerto Colombia,CO,75.2,10.99,-74.95,Hotel El Emigrante
659,Bubaque,GW,83.98,11.28,-15.83,"Casa Dora, Bubaque"
660,Meulaboh,ID,84.43,4.14,96.13,Kost Pria
662,Denpasar,ID,78.44,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
663,Matara,LK,86.43,5.95,80.54,Amaloh Boutique Resort
664,Sangueya,GN,76.86,10.7,-14.37,
669,Celestun,MX,75.96,20.87,-90.4,Posada Lilia
671,Ndele,CF,81.7,8.41,20.65,
675,Singkang,MY,87.8,2.1,102.8,Kampung Seri Makmor Pagoh
676,Baghdad,IQ,82.4,33.34,44.4,Baghdad Hotel
